baseline,domain,task_id,split_names,reward_basis,assistant_reference_actions,user_reference_actions,assistant_reference_tools,exposed_tools,extra_tools,covered_assistant_reference_actions,coverage_rate,risk_score,write_tool_slots,discoverable_tool_slots,required_documents,task_declared_user_tools
intentcap_reference_events,mock,create_task_1,base,,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,create_task_1_with_env_assertions,base,DB|ENV_ASSERTION,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,create_task_1_nl_eval,base,,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,mock,update_task_1,base,,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,update_task_with_message_history,base,,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,update_task_with_initialization_data,base,,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,update_task_with_initialization_actions,base,,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,update_task_with_history_and_env_assertions,base,ENV_ASSERTION,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,mock,update_task_with_user_tools,base,DB|ACTION|ENV_ASSERTION,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,mock,impossible_task_1,base,DB|ACTION,1,0,1,1,0,1,1.0,2,0,0,0,0
intentcap_reference_events,airline,0,base|train,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,1,base|train,DB|COMMUNICATE,2,0,2,2,0,2,1.0,2,0,0,0,0
intentcap_reference_events,airline,2,base|test,DB|COMMUNICATE,3,0,2,3,0,3,1.0,3,0,0,0,0
intentcap_reference_events,airline,3,base|train,DB|COMMUNICATE,2,0,2,2,0,2,1.0,2,0,0,0,0
intentcap_reference_events,airline,4,base|train,DB|COMMUNICATE,6,0,2,6,0,6,1.0,6,0,0,0,0
intentcap_reference_events,airline,5,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,6,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,7,base|train,DB|COMMUNICATE,5,0,3,5,0,5,1.0,11,3,0,0,0
intentcap_reference_events,airline,8,base|test,DB|COMMUNICATE,4,0,4,4,0,4,1.0,6,1,0,0,0
intentcap_reference_events,airline,9,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,10,base|train,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,11,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,12,base|train,DB|COMMUNICATE,5,0,4,5,0,5,1.0,8,1,0,0,0
intentcap_reference_events,airline,13,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,2,0,0,0,0
intentcap_reference_events,airline,14,base|train,DB|COMMUNICATE,2,0,2,2,0,2,1.0,6,2,0,0,0
intentcap_reference_events,airline,15,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,16,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,17,base|train,DB|COMMUNICATE,3,0,3,3,0,3,1.0,9,3,0,0,0
intentcap_reference_events,airline,18,base|test,DB|COMMUNICATE,5,0,1,5,0,5,1.0,15,5,0,0,0
intentcap_reference_events,airline,19,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,20,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,21,base|train,DB|COMMUNICATE,2,0,2,2,0,2,1.0,6,2,0,0,0
intentcap_reference_events,airline,22,base|test,DB|COMMUNICATE,3,0,3,3,0,3,1.0,9,3,0,0,0
intentcap_reference_events,airline,23,base|train,DB|COMMUNICATE,4,0,2,4,0,4,1.0,12,4,0,0,0
intentcap_reference_events,airline,24,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,25,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,26,base|test,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,27,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,28,base|train,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,29,base|test,DB|COMMUNICATE,3,0,3,3,0,3,1.0,7,2,0,0,0
intentcap_reference_events,airline,30,base|test,DB|COMMUNICATE,3,0,3,3,0,3,1.0,5,1,0,0,0
intentcap_reference_events,airline,31,base|test,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,32,base|test,DB|COMMUNICATE,5,0,4,5,0,5,1.0,9,2,0,0,0
intentcap_reference_events,airline,33,base|train,DB|COMMUNICATE,5,0,4,5,0,5,1.0,9,2,0,0,0
intentcap_reference_events,airline,34,base|train,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,35,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,3,1,0,0,0
intentcap_reference_events,airline,36,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,37,base|test,DB|COMMUNICATE,4,0,3,4,0,4,1.0,6,1,0,0,0
intentcap_reference_events,airline,38,base|train,DB|COMMUNICATE,2,0,2,2,0,2,1.0,2,0,0,0,0
intentcap_reference_events,airline,39,base|train,DB|COMMUNICATE,11,0,3,11,0,11,1.0,17,3,0,0,0
intentcap_reference_events,airline,40,base|train,DB|COMMUNICATE,2,0,2,2,0,2,1.0,4,1,0,0,0
intentcap_reference_events,airline,41,base|train,DB|COMMUNICATE,8,0,2,8,0,8,1.0,8,0,0,0,0
intentcap_reference_events,airline,42,base|train,DB|COMMUNICATE,10,0,3,10,0,10,1.0,14,2,0,0,0
intentcap_reference_events,airline,43,base|train,DB|COMMUNICATE,6,0,2,6,0,6,1.0,6,0,0,0,0
intentcap_reference_events,airline,44,base|test,DB|COMMUNICATE,19,0,4,19,0,19,1.0,25,3,0,0,0
intentcap_reference_events,airline,45,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,46,base|train,DB|COMMUNICATE,0,0,0,0,0,0,1.0,0,0,0,0,0
intentcap_reference_events,airline,47,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,48,base|test,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,airline,49,base|train,DB|COMMUNICATE,1,0,1,1,0,1,1.0,1,0,0,0,0
intentcap_reference_events,retail,0,base|train,DB|NL_ASSERTION,5,0,4,5,0,5,1.0,7,1,0,0,0
intentcap_reference_events,retail,1,base|train,DB|NL_ASSERTION,5,0,4,5,0,5,1.0,7,1,0,0,0
intentcap_reference_events,retail,2,base|train,DB|NL_ASSERTION,11,0,5,11,0,11,1.0,13,1,0,0,0
intentcap_reference_events,retail,3,base|train,DB|NL_ASSERTION,12,0,5,12,0,12,1.0,14,1,0,0,0
intentcap_reference_events,retail,4,base|train,DB|NL_ASSERTION,13,0,5,13,0,13,1.0,17,2,0,0,0
intentcap_reference_events,retail,5,base|test,DB|NL_ASSERTION,5,0,5,5,0,5,1.0,7,1,0,0,0
intentcap_reference_events,retail,6,base|train,DB|NL_ASSERTION,6,0,5,6,0,6,1.0,8,1,0,0,0
intentcap_reference_events,retail,7,base|train,DB|NL_ASSERTION,6,0,5,6,0,6,1.0,8,1,0,0,0
